gene,systematicName,intensity
NHP6B,YBR089C-A,0.974137931034483
,YBR090C,0.00215575316626246
TIM12,YBR091C,0.00409683426443203
PHO3,YBR092C,0.00819366852886406
PHO5,YBR093C,-2.31296463463574e-18
PBY1,YBR094W,0.176829268292683
RXT2,YBR095C,0.0651340996168582
,YBR096W,0.0931098696461825
VPS15,YBR097W,0.0194647201946472
MMS4,YBR098W,0.00223463687150838
FES1,YBR101C,0.209501557632399
EXO84,YBR102C,0.051980198019802
,YBR103C-A,0.00155038759689922
SIF2,YBR103W,0.102375102375102
YMC2,YBR104W,0.0346607669616519
VID24,YBR105C,0.0274848194311282
PHO88,YBR106W,0.81386292834891
IML3,YBR107C,0.00661157024793389
AIM3,YBR108W,0.0421393841166937
,YBR109W-A,0.00155038759689922
YSA1,YBR111C,0.335408022130014
SUS1,YBR111W-A,0.0567282321899736
CYC8,YBR112C,0.184865900383142
RAD16,YBR114W,0.00645802285146547
LYS2,YBR115C,0.801089918256131
TKL2,YBR117C,0.758982035928144
MUD1,YBR119W,0.0333620937589876
CBP6,YBR120C,0.257239057239057
GRS1,YBR121C,1.38333333333333
MRPL36,YBR122C,0.186921850079745
PTC4,YBR125C,0.0673289183222958
TPS1,YBR126C,1.71293840259357
,YBR126W-A,0.216639654240951
VMA2,YBR127C,1.76651066042642
ATG14,YBR128C,0.0100558659217877
OPY1,YBR129C,0.0458937198067633
SHE3,YBR130C,0.0682571239231279
CCZ1,YBR131W,0.0230912476722533
AGP2,YBR132C,0.088810984516506
HSL7,YBR133C,0.022417934347478
CKS1,YBR135W,0.253116011505273
,YBR137W,0.323458767013611
,YBR138C,0.00231884057971014
,YBR139W,0.0245810055865922
IRA1,YBR140C,0.0291026677445432
BMT2,YBR141C,0.00594648166501487
MAK5,YBR142W,0.060786257020152
SUP45,YBR143C,0.686915887850467
ADH5,YBR145W,0.0179640718562874
RTC2,YBR147W,-0.000744878957169461
YSW1,YBR148W,0.0134078212290503
ARA1,YBR149W,0.951754385964912
