gene,goId
ADA2,"['GO:0031509', 'GO:0003713', 'GO:0008270', 'GO:0035065', 'GO:0006357', 'GO:0045893', 'GO:0000781', 'GO:0001786', 'GO:0001786', 'GO:0003682', 'GO:0003713', 'GO:0000183', 'GO:0006325', 'GO:0006357', 'GO:0035066', 'GO:1990414', 'GO:0000124', 'GO:0000124', 'GO:0046695', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0005634', 'GO:0140671', 'GO:0140671', 'GO:0046872', 'GO:0005634', 'GO:0005634', 'GO:0003682', 'GO:0003682', 'GO:0003713', 'GO:0003713', 'GO:0003713', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0006357', 'GO:0035066', 'GO:0035066', 'GO:0035066', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0070461', 'GO:0006338', 'GO:0006338', 'GO:0006338', 'GO:0006338', 'GO:0006338', 'GO:0006338']"
ADD37,"['GO:0003674', 'GO:0030433', 'GO:0005737', 'GO:0005737', 'GO:0005737']"
ADD66,"['GO:0003674', 'GO:0043248', 'GO:0043248', 'GO:0043248', 'GO:0005829', 'GO:0005634', 'GO:0005634', 'GO:0005829', 'GO:0005829', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0043248', 'GO:0043248']"
ADE1,"['GO:0004639', 'GO:0004639', 'GO:0004639', 'GO:0006164', 'GO:0006164', 'GO:0006164', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0000166', 'GO:0004639', 'GO:0005524', 'GO:0016874', 'GO:0006164', 'GO:0006189', 'GO:0004639', 'GO:0004639', 'GO:0006164', 'GO:0006164', 'GO:0005634', 'GO:0005737', 'GO:0004639', 'GO:0004639', 'GO:0004639', 'GO:0004639', 'GO:0004639', 'GO:0006189', 'GO:0006189', 'GO:0006189']"
ADE12,"['GO:0004019', 'GO:0000287', 'GO:0005525', 'GO:0006164', 'GO:0006167', 'GO:0005737', 'GO:0003688', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0006164', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0004019', 'GO:0044208', 'GO:0044208', 'GO:0044208', 'GO:0046040', 'GO:0046040', 'GO:0046040', 'GO:0000166', 'GO:0004019', 'GO:0005525', 'GO:0016874', 'GO:0046872', 'GO:0006164', 'GO:0044208', 'GO:0005737', 'GO:0005737', 'GO:0004019', 'GO:0005525', 'GO:0005525', 'GO:0006164']"
ADE16,"['GO:0003937', 'GO:0004643', 'GO:0006164', 'GO:0006164', 'GO:0006189', 'GO:0006189', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0003824', 'GO:0003937', 'GO:0004643', 'GO:0016740', 'GO:0016787', 'GO:0006164', 'GO:0006189', 'GO:0008152', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0003824', 'GO:0003937', 'GO:0004643', 'GO:0006164']"
ADE17,"['GO:0003937', 'GO:0004643', 'GO:0006164', 'GO:0006164', 'GO:0006189', 'GO:0006189', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005886', 'GO:0003824', 'GO:0003937', 'GO:0004643', 'GO:0016740', 'GO:0016787', 'GO:0006164', 'GO:0006189', 'GO:0008152', 'GO:0003824', 'GO:0003937', 'GO:0004643', 'GO:0006164', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0003937', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0004643', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189', 'GO:0006189']"
ADE2,"['GO:0004638', 'GO:0006144', 'GO:0006164', 'GO:0006189', 'GO:0005737', 'GO:0000166', 'GO:0004638', 'GO:0005524', 'GO:0016829', 'GO:0016831', 'GO:0043727', 'GO:0006164', 'GO:0006189', 'GO:0004638', 'GO:0004638', 'GO:0005524', 'GO:0005524', 'GO:0046872', 'GO:0006189', 'GO:0006189', 'GO:0006189']"
ADE3,"['GO:0004329', 'GO:0004477', 'GO:0004488', 'GO:0006760', 'GO:0009113', 'GO:0000166', 'GO:0003824', 'GO:0004329', 'GO:0004477', 'GO:0004486', 'GO:0004488', 'GO:0005524', 'GO:0016491', 'GO:0016787', 'GO:0016874', 'GO:0000105', 'GO:0006164', 'GO:0006730', 'GO:0008152', 'GO:0008652', 'GO:0009086', 'GO:0035999', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0005829', 'GO:0035999', 'GO:0035999', 'GO:0035999', 'GO:0035999', 'GO:0004477', 'GO:0004477', 'GO:0004477', 'GO:0004477', 'GO:0004477', 'GO:0004477', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0004488', 'GO:0003824', 'GO:0004329', 'GO:0005524', 'GO:0005524']"
ADE4,"['GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0006189', 'GO:0004044', 'GO:0016740', 'GO:0016757', 'GO:0046872', 'GO:0006164', 'GO:0006189', 'GO:0006541', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0004044', 'GO:0006164', 'GO:0006164', 'GO:0006164', 'GO:0006164', 'GO:0006164', 'GO:0006164', 'GO:0009116', 'GO:0009113']"
ADE6,"['GO:0004642', 'GO:0006164', 'GO:0006189', 'GO:0005737', 'GO:0000166', 'GO:0004642', 'GO:0005524', 'GO:0016874', 'GO:0046872', 'GO:0006164', 'GO:0006189', 'GO:0006541', 'GO:0005737', 'GO:0005737', 'GO:0006189', 'GO:0004642']"
ADE8,"['GO:0004644', 'GO:0004644', 'GO:0004644', 'GO:0004644', 'GO:0006164', 'GO:0006189', 'GO:0046084', 'GO:0004644', 'GO:0016740', 'GO:0006164', 'GO:0006189', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004644', 'GO:0004644', 'GO:0004644', 'GO:0004644', 'GO:0006189', 'GO:0006189', 'GO:0004644', 'GO:0016742', 'GO:0016742', 'GO:0006189', 'GO:0009058', 'GO:0009058']"
ADF1,"['GO:0000977', 'GO:0000122', 'GO:0000750', 'GO:0005634', 'GO:0005634', 'GO:0005634']"
ADH2,"['GO:0004022', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0006067', 'GO:0006116', 'GO:0005737', 'GO:0005737', 'GO:0004022', 'GO:0016491', 'GO:0046872', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0008270', 'GO:0016491', 'GO:0016491']"
ADH3,"['GO:0004022', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0006116', 'GO:0005759', 'GO:0004022', 'GO:0016491', 'GO:0046872', 'GO:0005739', 'GO:0005759', 'GO:0005739', 'GO:0005739', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0008270', 'GO:0016491', 'GO:0016491']"
ADH4,"['GO:0004022', 'GO:0004022', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0006113', 'GO:0005739', 'GO:0004022', 'GO:0016491', 'GO:0046872', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0016491', 'GO:0016491', 'GO:0046872', 'GO:0046872']"
ADH5,"['GO:0004022', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0000947', 'GO:0006116', 'GO:0043458', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005634', 'GO:0005737', 'GO:0004022', 'GO:0016491', 'GO:0046872', 'GO:0008270', 'GO:0016491', 'GO:0016491', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022', 'GO:0004022']"
ADH6,"['GO:0008106', 'GO:0033833', 'GO:0033845', 'GO:0006066', 'GO:0006081', 'GO:0033859', 'GO:0005575', 'GO:0008270', 'GO:0016491', 'GO:0008106', 'GO:0016491', 'GO:0046872', 'GO:0008106', 'GO:0008106', 'GO:0008106', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0006066', 'GO:0006066', 'GO:0006066']"
ADH7,"['GO:0016491', 'GO:0016491', 'GO:0008106', 'GO:0006066', 'GO:0005575', 'GO:0008106', 'GO:0016491', 'GO:0046872', 'GO:0008270', 'GO:0008106', 'GO:0008106', 'GO:0008106', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0016616', 'GO:0006066', 'GO:0006066', 'GO:0006066']"
ADI1,"['GO:0005506', 'GO:0010309', 'GO:0016491', 'GO:0010308', 'GO:0019509', 'GO:0019509', 'GO:0019509', 'GO:0019509', 'GO:0019509', 'GO:0005737', 'GO:0019509', 'GO:0005634', 'GO:0005737', 'GO:0010309', 'GO:0010309', 'GO:0016491', 'GO:0046872', 'GO:0051213', 'GO:0008652', 'GO:0009086', 'GO:0019509', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0010309', 'GO:0010309', 'GO:0006555', 'GO:0006555', 'GO:0006555', 'GO:0006555', 'GO:0005634']"
